Date,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,100,US,100,NAS,US,100,NAS,US,100,NAS,US,100,NAS,US,100,NAS,US
2021-03-01,,,,390.2377624511719,,,393.73541205060616,,,383.74212748079384,,,383.74212748079384,,,226380,
2021-03-02,,,,391.73675537109375,,,391.73675537109375,,,381.7534738389433,,,384.7414561680385,,,134220,
2021-03-03,,,,391.73675537109375,,,391.73675537109375,,,388.13916682439134,,,391.73675537109375,,,123220,
2021-03-04,,,,391.73675537109375,,,393.73541228625237,,,381.2438065665109,,,382.7427992528799,,,106160,
2021-03-05,,,,390.2377624511719,,,394.1851220550814,,,388.7387697657,,,389.73809822268123,,,86360,
2021-03-08,,,,393.73541259765625,,,396.7333979727653,,,383.74212801395936,,,391.7367556809169,,,126520,
2021-03-09,,,,395.234375,,,395.73403919089765,,,385.74075537294567,,,393.73538242730723,,,42090,
2021-03-10,,,,394.2350769042969,,,398.73205496784396,,,388.73877038218376,,,390.7374272993158,,,89110,
2021-03-11,,,,395.7340393066406,,,398.63208551527794,,,383.7420987215909,,,389.73806901411575,,,76950,
2021-03-12,,,,394.7347412109375,,,400.73071196350867,,,388.7387704583663,,,388.7387704583663,,,45610,
2021-03-15,,,,396.23370361328125,,,402.7293380987449,,,389.73806912781765,,,402.7293380987449,,,153840,
2021-03-16,,,,392.736083984375,,,401.7300401061546,,,389.7380986104485,,,401.7300401061546,,,432390,
2021-03-17,,,,389.7380676269531,,,399.42156205468166,,,389.7380676269531,,,392.73605276254506,,,120740,
2021-03-18,,,,388.73876953125,,,394.63480132446654,,,385.7407841621144,,,385.7407841621144,,,80670,
2021-03-19,,,,398.7320251464844,,,398.7320251464844,,,383.74209938909775,,,387.7394129244008,,,85940,
2021-03-22,,,,392.736083984375,,,397.73272627425257,,,388.73877015247297,,,389.7380986104485,,,64440,
2021-03-23,,,,392.736083984375,,,395.73406935830155,,,388.73877015247297,,,390.737427068424,,,46630,
2021-03-24,,,,389.7380676269531,,,392.73605276254506,,,389.7380676269531,,,392.73605276254506,,,63720,
2021-03-25,,,,389.7380676269531,,,390.7373960054838,,,383.74209735576926,,,390.7373960054838,,,158740,
2021-03-26,,,,387.73944091796875,,,398.7320539336843,,,383.74212709407215,,,398.7320539336843,,,66150,
2021-03-29,,,,393.73541259765625,,,399.7313833478743,,,382.74279955558967,,,399.7313833478743,,,84710,
2021-03-30,,,,391.2370910644531,,,397.7327260374262,,,385.2411203201703,,,397.7327260374262,,,69510,
2021-03-31,,,,389.7380676269531,,,393.1057993830683,,,385.2410899235652,,,389.7380676269531,,,42550,
2021-04-01,,,,389.7380676269531,,,391.73672438401445,,,387.13980774335704,,,391.73672438401445,,,93670,
2021-04-05,,,,389.7380676269531,,,389.7380676269531,,,389.7380676269531,,,389.7380676269531,,,0,
2021-04-06,,,,390.7374267578125,,,398.1924085092,,,387.9792704569257,,,393.73541212935584,,,127650,
2021-04-07,,,,392.736083984375,,,394.70476226647014,,,391.7367555263995,,,391.7367555263995,,,81830,
2021-04-08,,,,394.7347412109375,,,398.53217715539887,,,387.7394419996044,,,394.7347412109375,,,98350,
2021-04-09,,,,396.23370361328125,,,401.7300097163659,,,389.73806912781765,,,394.73471103971275,,,70550,
2021-04-12,,,,396.23370361328125,,,402.7293380987449,,,393.44258017322665,,,402.7293380987449,,,67190,
2021-04-13,,,,399.73138427734375,,,403.4078992896108,,,393.6154989774339,,,399.73138427734375,,,66090,
2021-04-14,,,,406.7266540527344,,,408.8852070311899,,,401.9938423688517,,,404.72799727606247,,,55070,
2021-04-15,,,,412.22296142578125,,,417.3655014239658,,,405.72732688210226,,,407.7259836647727,,,83180,
2021-04-16,,,,415.7206115722656,,,422.2931902667557,,,410.56407340369054,,,418.7185967518733,,,217420,
2021-04-19,,,,419.7179260253906,,,421.8994738189969,,,415.72061244419643,,,417.7192692347935,,,95750,
2021-04-20,,,,410.7239685058594,,,419.7179240205862,,,409.7246401153342,,,412.72262528690976,,,28620,
2021-04-21,,,,412.22296142578125,,,416.84384883199226,,,407.64605081218207,,,412.5797162940014,,,13630,
2021-04-22,,,,414.7212829589844,,,416.7199397443289,,,407.2013429035421,,,415.7206113516566,,,110680,
2021-04-23,,,,404.72802734375,,,418.5787051964689,,,404.72802734375,,,415.7206404320988,,,70410,
2021-04-26,,,,407.7259826660156,,,416.48010911173463,,,402.7293407215792,,,402.7293407215792,,,65270,
2021-04-27,,,,390.7374267578125,,,412.72265281579683,,,390.7374267578125,,,402.7293682439858,,,255420,
2021-04-28,,,,395.7340393066406,,,408.22564408273405,,,395.7340393066406,,,404.7279947454279,,,95020,
2021-04-29,,,,394.7347412109375,,,411.1827031962762,,,393.7354127521756,,,400.73071196350867,,,112160,
2021-04-30,,,,400.2310485839844,,,408.38057096260883,,,392.82101950734693,,,398.7320558926586,,,107630,
2021-05-03,,,,400.2310485839844,,,400.2310485839844,,,400.2310485839844,,,400.2310485839844,,,0,
2021-05-04,,,,399.73138427734375,,,409.22100953587795,,,397.732727355957,,,406.72668350219726,,,172820,
2021-05-05,,,,403.2290344238281,,,406.087099186596,,,399.7313848067689,,,401.7300417308027,,,61380,
2021-05-06,,,,406.22698974609375,,,409.7246391043012,,,396.988203678019,,,409.7246391043012,,,52980,
2021-05-07,,,,394.7347412109375,,,409.7246680923655,,,394.7347412109375,,,394.7347412109375,,,60770,
2021-05-10,,,,404.72802734375,,,410.57410494924324,,,399.93126292221336,,,404.72802734375,,,77210,
2021-05-11,,,,401.7300109863281,,,404.57410786677593,,,397.7326974441756,,,397.7326974441756,,,50940,
2021-05-12,,,,405.72735595703125,,,407.12640970574205,,,402.30564407696903,,,405.72735595703125,,,31560,
2021-05-13,,,,398.7320251464844,,,402.0128097395882,,,393.7353832273555,,,393.7353832273555,,,47390,
2021-05-14,,,,403.2290344238281,,,409.72466942693814,,,401.7600203647799,,,405.72735557887046,,,42320,
2021-05-17,,,,404.2283630371094,,,405.42756939081215,,,400.7307134187413,,,402.72937034352304,,,49800,
2021-05-18,,,,409.2249755859375,,,412.72262494991986,,,401.73001266311815,,,404.7279978322459,,,88340,
2021-05-19,,,,413.2222900390625,,,415.2109437798214,,,408.2256480797026,,,409.7246406675106,,,45740,
2021-05-20,,,,420.21759033203125,,,422.21624712314673,,,402.2296792119919,,,415.7206125520214,,,50370,
2021-05-21,,,,414.7212829589844,,,421.51670383032274,,,412.99545307185906,,,414.49944718236395,,,173850,
2021-05-24,,,,418.21893310546875,,,429.55131343964445,,,414.4194845977009,,,419.7179256972446,,,89480,
2021-05-25,,,,423.7152099609375,,,429.71117991321495,,,418.7185683340397,,,418.7185683340397,,,153380,
2021-05-26,,,,426.7132263183594,,,434.65789928822505,,,420.7172559251272,,,423.7152411217433,,,108250,
2021-05-27,,,,437.70587158203125,,,441.80312442456767,,,424.71460142092076,,,429.71124379057864,,,652630,
2021-05-28,,,,445.7004699707031,,,448.6984551947213,,,439.20483531866375,,,444.70114156269705,,,98140,
2021-06-01,,,,443.2021789550781,,,449.6978140468662,,,440.8037967129118,,,444.70117166856767,,,44330,
2021-06-02,,,,445.2008056640625,,,444.0015993758986,,,441.0136171957158,,,444.0015993758986,,,42050,
2021-06-03,,,,441.70318603515625,,,443.4520108667434,,,433.70855823361495,,,433.70855823361495,,,83260,
2021-06-04,,,,447.199462890625,,,448.6984555036662,,,439.704499825419,,,439.704499825419,,,32840,
2021-06-07,,,,449.69781494140625,,,449.69781494140625,,,439.4846766799647,,,446.69982950846355,,,77820,
2021-06-08,,,,456.19342041015625,,,460.6903982674305,,,444.7011436637887,,,450.6971141401543,,,286960,
2021-06-09,,,,452.6957702636719,,,454.194762880439,,,448.03889620793205,,,451.69644185249376,,,103910,
2021-06-10,,,,453.6950988769531,,,456.0934809654324,,,443.7018147607207,,,454.6944272885764,,,77300,
2021-06-11,,,,444.7011413574219,,,454.69442543286954,,,442.70248454233234,,,445.70046976496667,,,42190,
2021-06-14,,,,452.6957702636719,,,454.69442708602804,,,445.02093538512406,,,454.69442708602804,,,110050,
2021-06-15,,,,452.6957702636719,,,459.69106914191843,,,453.69509867484993,,,453.69509867484993,,,52200,
2021-06-16,,,,457.1927490234375,,,457.6924132300205,,,453.6950995773566,,,454.69442799052257,,,86200,
2021-06-17,,,,453.6950988769531,,,457.6174506937412,,,452.5358742598202,,,454.6944272885764,,,73320,
2021-06-18,,,,454.6944580078125,,,457.6924434452267,,,451.6664939359076,,,454.6944580078125,,,84390,
2021-06-21,,,,451.6964416503906,,,454.47457341233934,,,450.69711323965964,,,450.69711323965964,,,61520,
2021-06-22,,,,449.69781494140625,,,455.2091261342334,,,449.69781494140625,,,452.695800374349,,,21120,
2021-06-23,,,,454.1947937011719,,,454.6944579406671,,,450.46030366313784,,,450.6971440247052,,,70040,
2021-06-24,,,,457.6924133300781,,,458.06215996349715,,,449.69778602300255,,,451.6964428497715,,,325790,
2021-06-25,,,,454.1947937011719,,,457.93529166493715,,,449.6978155457147,,,455.6937864196576,,,52860,
2021-06-28,,,,453.1954345703125,,,457.69241242161655,,,450.7770463960058,,,453.6950987760129,,,53830,
2021-06-29,,,,460.6903991699219,,,460.6903991699219,,,449.6977866083836,,,459.6910707552366,,,28410,
2021-06-30,,,,462.18939208984375,,,465.6270842783435,,,454.6944289748733,,,454.6944289748733,,,91810,
2021-07-01,,,,463.6883850097656,,,466.6064374031125,,,458.53184672371395,,,464.68771342573496,,,58010,
2021-07-02,,,,465.1873779296875,,,467.68569897120034,,,459.6011357405148,,,459.6910716383593,,,84680,
2021-07-06,,,,469.6843566894531,,,474.5610842512088,,,467.28597458449804,,,469.6843566894531,,,73770,
2021-07-07,,,,475.1806640625,,,479.1160076724994,,,471.6830145899053,,,473.681671431388,,,47140,
2021-07-08,,,,471.6830139160156,,,477.0393996049366,,,462.6890581421933,,,468.6850286580748,,,94620,
2021-07-09,,,,476.17999267578125,,,479.2878894269435,,,467.68570109604536,,,477.6789853074993,,,51000,
2021-07-12,,,,470.6836853027344,,,478.59837979915295,,,463.688386370422,,,477.67898423504676,,,62310,
2021-07-13,,,,475.1806640625,,,479.5877060576192,,,471.7829535313961,,,476.67965669361195,,,26790,
