Date,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,.VN,.VN,BFC,.VN,BFC,.VN,BFC,.VN,BFC,.VN,BFC
2021-03-03,,,65.3233642578125,,66.35810213867907,,63.604805453427915,,63.604805453427915,,17500
2021-03-04,,,64.36060333251953,,66.58303827603198,,63.78475057768711,,63.89272554348306,,10700
2021-03-05,,,66.57405090332031,,66.57405090332031,,65.00845136691346,,65.00845136691346,,11700
2021-03-08,,,67.47380065917969,,69.23735034960816,,63.89271723479808,,66.58302961749558,,22900
2021-03-09,,,69.15638732910156,,69.21937101332925,,67.48281301710092,,67.48281301710092,,17800
2021-03-10,,,68.46354675292969,,69.03040666651769,,67.28484937593501,,68.69748904845339,,22000
2021-03-11,,,68.6884994506836,,68.70649871088611,,68.34658901860638,,68.70649871088611,,10100
2021-03-12,,,69.28236389160156,,69.28236389160156,,68.39159256368482,,68.59853604016372,,12000
2021-03-15,,,68.83245849609375,,69.28234384574142,,68.1306384489963,,68.88644254134566,,10100
2021-03-16,,,67.22187042236328,,68.29259978789385,,66.78098468672958,,68.19362445840585,,6100
2021-03-17,,,65.68327331542969,,66.55605215509742,,62.98396071342573,,65.56630557397068,,13400
2021-03-18,,,64.3336410522461,,65.68329785753797,,63.3708861390596,,65.67429822338403,,5900
2021-03-19,,,69.28236389160156,,69.28236389160156,,64.38760767450145,,64.38760767450145,,60500
2021-03-22,,,65.69226837158203,,68.44556483718745,,65.05343192402617,,68.44556483718745,,16700
2021-03-23,,,63.81534194946289,,66.54951057035765,,63.707055521637365,,65.70128409699457,,7300
2021-03-24,,,62.62424087524414,,65.79154944035926,,62.53400559580858,,64.75382651557396,,9200
2021-03-25,,,63.878509521484375,,64.45602338752015,,62.84078692690161,,64.45602338752015,,7100
2021-03-26,,,64.24848937988281,,64.24848937988281,,63.246862055689554,,63.81535733318342,,5700
2021-03-29,,,63.48146057128906,,64.3116358201065,,63.1566081896635,,63.22879913769312,,6500
2021-03-30,,,63.860469818115234,,64.55529583102744,,62.95810337969077,,63.165650689712606,,7900
2021-03-31,,,67.66844940185547,,67.95720635311127,,65.8727423263743,,65.8727423263743,,22300
2021-04-01,,,65.96298217773438,,66.34197441181259,,65.19597211795441,,66.02614755008075,,9000
2021-04-05,,,66.12539672851562,,67.26238011450002,,64.83501273456335,,66.17051779415702,,7400
2021-04-06,,,66.34197235107422,,66.37806783193797,,65.21401439099094,,65.21401439099094,,7100
2021-04-07,,,64.33871459960938,,67.0277620949231,,64.10409745343509,,66.29684765567809,,8700
2021-04-08,,,65.85470581054688,,66.73902106628941,,64.4650606670133,,64.92526259449767,,5200
2021-04-09,,,65.22303771972656,,65.51179467211045,,64.49212318999115,,65.51179467211045,,9000
2021-04-12,,,64.14020538330078,,65.99005237314373,,64.14020538330078,,64.57333740010401,,5200
2021-04-13,,,62.76860046386719,,65.06061179567172,,62.62422542928179,,64.60942862526552,,6200
2021-04-14,,,63.0302619934082,,63.85141833543683,,62.5700534183756,,62.89490572022143,,3500
2021-04-15,,,64.5372314453125,,64.5372314453125,,62.7776200041316,,62.7776200041316,,3100
2021-04-16,,,63.11150360107422,,65.25913299750543,,62.71446021108354,,65.25913299750543,,6000
2021-04-19,,,63.0302619934082,,63.38218417299017,,62.398608564544666,,63.26487907463153,,10600
2021-04-20,,,62.579097747802734,,63.851437458506965,,62.49788809027255,,62.570072157685566,,19000
2021-04-21,,,64.428955078125,,64.428955078125,,63.19271077098099,,63.337092683278904,,5800
2021-04-22,,,64.36579132080078,,64.55528742204497,,63.75218194722062,,64.06800878262762,,12900
2021-04-23,,,64.26651000976562,,66.41413869115264,,63.8243525809961,,64.06798838086725,,15100
2021-04-26,,,65.05159759521484,,65.98104087198567,,64.97038791488605,,65.12378856740268,,6500
