Date,Close,High,Low,Open,Volume
,FPT.VN,FPT.VN,FPT.VN,FPT.VN,FPT.VN
2022-03-08,49280.63671875,49592.53920132607,48136.99428263773,48760.79924778988,5342832
2022-03-09,49644.5234375,50164.36461955894,49176.669709026784,49176.669709026784,6629857
2022-03-10,49176.6640625,50060.38767036803,49176.6640625,50060.38767036803,2864414
2022-03-11,48448.89453125,49176.6669570368,48188.975807754716,49124.683212337746,2808020
2022-03-14,47721.12109375,48344.92601691369,47045.332426989335,48344.92601691369,4281930
2022-03-15,47305.25390625,47721.12387930072,46681.44894667391,47721.12387930072,7028265
2022-03-16,47617.16015625,47981.046411481024,47045.338898029826,47357.24140251356,5777923
2022-03-17,47825.08984375,48188.97605853712,47565.17111890206,47721.122353810824,5023082
2022-03-18,49436.5859375,50216.34581801637,48344.92729314543,48344.92729314543,5137697
2022-03-21,49540.5546875,49904.44091154029,49384.603448625596,49488.570941208534,3659588
2022-03-22,50112.37890625,50424.285108708114,49592.541412116,49904.443908596404,3794643
2022-03-23,50164.3671875,50684.20469019211,49904.44473017617,50164.3671875,3715434
2022-03-24,49904.4375,50528.24611883065,49540.551300835505,49904.4375,3400249
2022-03-25,49748.48828125,50164.36194592767,49696.50453641246,49956.42326060014,2539554
2022-03-28,50996.10546875,51308.007959826704,49488.57305590163,49644.52430143998,7886631
2022-03-29,54531.0078125,54531.0078125,51256.027725668915,51256.027725668915,15454521
2022-03-30,55102.828125,55778.61689022362,54323.07185743429,54998.8606226579,5716054
2022-03-31,55622.66015625,57494.075014018556,54375.05025107096,54842.903965513106,7031551
2022-04-01,57702.01171875,57702.01171875,55154.80808639133,55570.67806718458,8439029
2022-04-04,56818.2890625,59001.61020810267,56818.2890625,59001.61020810267,5968276
2022-04-05,56662.33984375,58013.91735472393,56662.33984375,56714.32359417208,5609836
2022-04-06,58741.69140625,59261.52889135253,56350.43526880074,56350.43526880074,8687053
2022-04-07,58897.640625,60769.05550697011,58273.83566434329,59105.575611885564,9893959
2022-04-08,56402.421875,59209.54814275733,56402.421875,58897.64563589295,12044416
2022-04-12,57078.203125,57961.926778098714,55414.72330740242,56662.33317060061,6713443
2022-04-13,59833.3515625,59833.3515625,57078.209119284904,57182.1766188033,6412493
2022-04-14,60613.1015625,61808.727683748126,59885.32914087071,59885.32914087071,9854903
2022-04-15,59781.359375,61288.887905239055,59261.52195077964,59833.34311742204,7436165
2022-04-18,60041.28125,61652.77734997446,59261.525072593,59781.36252419766,7020600
2022-04-19,58221.85546875,60821.04296335195,58221.85546875,60561.12421389175,14959890
2022-04-20,58221.85546875,58741.69296767039,56974.24176536331,58221.85546875,6112090
2022-04-21,58221.85546875,60249.22171453952,57805.98176363594,57805.98176363594,8113440
2022-04-22,57753.9921875,59209.54074361857,55102.82121045711,58481.76831854797,21678306
2022-04-25,53751.2421875,57650.026890319314,53751.2421875,57234.156917322856,10985931
2022-04-26,54219.1015625,54582.98780195512,50424.284216490385,52087.76416828522,10106030
2022-04-27,53543.30859375,54063.14607351739,52243.714894331526,53283.389853866305,5770259
2022-04-28,54842.90234375,55518.691022404855,53283.38630241528,53491.32128046293,5744343
2022-04-29,54582.98046875,55674.639040451395,54167.11053667327,54582.98046875,7321186
2022-05-04,54323.0703125,55050.842808197,54115.1316077517,54531.00531127057,3829683
2022-05-05,54427.0390625,54842.90906959693,52971.49033168293,54375.05531161288,4478488
2022-05-06,52087.765625,54063.14812300099,52087.765625,53179.42437389529,5903123
2022-05-09,48864.76953125,51463.96074039355,48864.76953125,51100.07448995034,9233107
2022-05-10,51152.0546875,51359.989673312164,47825.09120852787,48864.76613758869,6817107
2022-05-11,52971.48828125,52971.48828125,50320.31708862924,50944.122075128245,4211301
2022-05-12,49696.5078125,52971.48765913497,49384.60532291359,51619.91020426051,7803365
2022-05-13,48656.8359375,51463.962228041266,48396.917179670054,49956.42972664972,7639840
2022-05-16,48448.89453125,50684.19925928685,48448.89453125,50684.19925928685,3177227
2022-05-17,51827.84765625,51827.84765625,48085.013897659584,48344.93265131323,3733686
2022-05-18,50788.171875,52035.78187370516,50684.2043751079,51827.846873920964,3676377
2022-05-19,50424.28125,50788.167468047475,49436.58638075084,49436.58638075084,4666104
2022-05-20,50684.203125,51411.97560629443,50424.28438168056,50788.17062232777,2628800
2022-05-23,50164.3671875,51048.09094207659,49956.42848044538,51048.09094207659,2451693
2022-05-24,51048.0859375,51048.0859375,49904.43983771866,50164.3622695606,2563646
2022-05-25,54582.98046875,54582.98046875,51308.00104766865,51723.87097974538,6881897
2022-05-26,54894.890625,55674.64685712092,54375.053136919385,54686.955629767755,3223766
2022-05-27,58117.8828125,58221.85401566694,54842.90665103738,54894.89039963202,8203780
2022-05-30,57857.96484375,58429.78979192059,56766.30610865449,57753.997345169475,20070073
2022-05-31,57130.19140625,57857.96388424443,55882.581443973824,57857.96388424443,5211063
2022-06-01,58117.8828125,58689.707753018745,57078.2078406071,57130.19158920175,6114646
2022-06-02,57961.93359375,59677.40106334395,57753.99859209956,58637.72605509173,5044253
2022-06-03,59261.52734375,59261.52734375,57650.02747603851,57961.92995895475,4781812
2022-06-06,58741.69140625,60301.20386155757,58221.85392114748,59261.52889135253,6054419
2022-06-07,60093.2734375,60093.2734375,56454.40705907555,58585.74461605788,10998662
2022-06-08,59781.359375,61132.936677972946,59521.44066288982,60457.14802648647,5582096
2022-06-09,59937.3203125,60249.22281756245,58897.645295625196,60041.28781418748,4408224
2022-06-10,57182.16796875,59625.40754381652,57182.16796875,58949.618899174784,7538549
2022-06-13,53772.03515625,56641.54012568101,53647.273426104744,54894.88702157981,5833466
2022-06-14,55581.07421875,56080.12116842508,53335.374063145064,53647.276553703174,4403540
2022-06-15,56454.3984375,56516.77744853868,54894.8861017592,56516.77744853868,4359890
2022-06-16,57390.11328125,58512.96527337585,56267.264995102,56766.30826605913,5151963
2022-06-17,57390.11328125,57764.39851395123,55518.69823567739,56329.64401422995,6123497
2022-06-20,57390.11328125,58949.629525205026,56953.44902942082,58325.82451001415,4056931
2022-06-21,55581.07421875,58325.82132403001,55518.695203029434,57639.633621215595,4849764
2022-06-22,52711.56640625,56392.0207963747,52649.18739369596,56017.7356031181,5363059
2022-06-23,53335.37109375,54146.32048883437,52212.52293144984,52399.6636741703,5204620
2022-06-24,53335.37109375,54770.125435220834,53335.37109375,53709.65628516835,1416540
2022-06-27,53959.17578125,54832.50418439196,53584.89429760483,53896.79676930161,3831235
2022-06-28,55955.35546875,56267.25793722197,54395.839420412776,55830.593740165736,5898256
2022-06-29,56142.5,56142.5,55019.651778869265,55456.312299436264,4271832
2022-06-30,53772.03515625,56080.11789899353,53772.03515625,55830.59443870303,3081594
2022-07-01,54894.890625,55393.93387236185,52898.71022359724,54271.085639303266,4207499
2022-07-04,54083.9375,55206.7893626594,53647.273298518834,55206.7893626594,1529238
2022-07-05,53272.9921875,54770.12554419736,53272.9921875,54770.12554419736,3228511
2022-07-06,52087.765625,53584.89910587606,52087.765625,52462.04714223014,5713012
2022-07-07,51838.2421875,52773.953393336604,51838.2421875,52337.289152206926,3781653
2022-07-08,52150.140625,52399.66408791579,51838.238149344,52337.285075175576,2946694
2022-07-11,51651.1015625,52773.953530021005,51651.1015625,52773.953530021005,2127398
2022-07-12,52087.765625,52087.765625,51588.72236670057,51651.101384246336,1396618
2022-07-13,51463.95703125,52399.66446495078,51463.95703125,52399.66446495078,2683885
2022-07-14,51651.1015625,52087.76580476064,51276.82004397817,51651.1015625,3351246
2022-07-15,51276.81640625,52399.66458813509,51276.81640625,52399.66458813509,2740918
2022-07-18,51775.859375,52711.56680627637,51339.19516587553,51651.09764296765,2075841
2022-07-19,51775.859375,51775.859375,51276.81615284809,51713.47665599508,3563104
2022-07-20,52961.09375,53584.898745169594,52399.66777195627,53023.472767125866,6340950
2022-07-21,53023.46875,53584.894685509375,52711.566276045334,53584.894685509375,3821349
2022-07-22,53085.85546875,53959.18023804743,53085.85546875,53896.80122094681,3331627
