Date,Close,High,Low,Open,Volume
,ETHU,ETHU,ETHU,ETHU,ETHU
2024-06-04,302.2814636230469,308.3466699804002,297.6836430114366,298.95539523683743,17660
2024-06-05,315.3901672363281,316.1727910376068,299.3467524856823,305.8032570395159,49695
2024-06-06,300.5206298828125,311.2618750502962,300.1293031116353,310.10753869583056,33860
2024-06-07,283.4989929199219,306.56631997164317,266.28168593510236,303.6511020658444,42145
2024-06-10,279.7815246582031,287.02062107365697,278.80326757897865,280.7597817374276,7380
2024-06-11,252.9773406982422,258.84688442741697,242.78388661946295,258.84688442741697,29045
2024-06-12,257.86859130859375,274.6945964151761,254.5425229616911,270.19463739797555,47180
2024-06-13,250.43385314941406,257.477317210858,242.60779523849487,257.0859904320787,28140
2024-06-14,238.890380859375,255.9120633573518,233.39258073345073,255.9120633573518,35770
2024-06-17,260.2164306640625,262.9555390452252,247.49908630830004,256.49906502476426,40585
2024-06-18,240.25997924804688,242.80343906431344,232.72738671101212,235.95563852302408,29915
2024-06-20,255.91209411621094,257.4773116353091,248.86863020728987,257.08598486500375,27000
2024-06-21,255.52081298828125,255.52081298828125,243.7817107237408,246.32518561767847,20255
2024-06-24,220.89048767089844,225.76220454418362,212.67311790264804,222.84700214995507,62180
2024-06-25,236.2140655517578,238.1711001128527,228.7773431781905,230.93007820919712,43815
2024-06-26,235.626953125,235.626953125,223.29762999417906,231.32146833330611,39370
2024-06-27,241.1066436767578,245.02071266456875,239.3453245770335,240.51954228717912,49255
2024-06-28,229.36444091796875,244.82501668943843,228.36636405809205,240.32384622953464,38340
2024-07-01,243.2594451904297,247.56491601835228,240.3238928265757,243.455145695155,36430
2024-07-02,235.0398406982422,241.10664466809584,232.49570480429753,240.71524374010076,27895
2024-07-03,220.75347900390625,225.05894856936004,217.81792750082764,219.57924645788515,37140
2024-07-05,178.4815216064453,180.24285545690753,171.24050069241778,175.74168554015603,118465
2024-07-08,180.04718017578125,185.7225834066504,167.32645548944888,185.52688293613534,62015
2024-07-09,187.67962646484375,192.55263857678221,183.96125763287498,187.48392598547477,42965
2024-07-10,192.76791381835938,197.85620094310292,190.22376279049283,192.18079744854722,64360
2024-07-11,192.37648010253906,202.16165172665626,190.8108466702855,201.57453545681443,64100
2024-07-12,193.5507049560547,199.03039231207896,190.22373752073054,190.22373752073054,47460
2024-07-15,230.53866577148438,233.0828016154282,220.7730530483593,223.1019288378282,154275
2024-07-16,239.3453369140625,241.88947292868386,225.8417952238786,230.93008218411035,93350
2024-07-17,231.1257781982422,239.14961689583956,224.66757311865888,234.9420045430307,66100
2024-07-18,229.16871643066406,240.7152219323139,223.88472972649586,239.93240521625535,79230
2024-07-19,245.8035125732422,248.52378913853727,228.7773196175549,228.9730200673124,81380
2024-07-22,241.4001922607422,242.67226761751542,232.495694625305,240.51953274581564,84350
2024-07-23,235.0398406982422,241.6937609910768,225.6460840474654,240.51954327610324,173075
2024-07-24,221.76344299316406,236.54767850192087,221.2738989688966,236.15603431868809,92885
2024-07-25,190.53053283691406,196.60087551463963,186.22253662649462,193.4677968686875,143730
2024-07-26,208.74156188964844,209.91646452015692,201.30050193662984,203.84612181278194,62455
2024-07-29,212.6578826904297,220.29477107565825,205.6084530039477,220.29477107565825,82685
2024-07-30,207.37081909179688,218.72822970684987,205.8042724843503,217.55332722111277,98525
2024-07-31,207.17498779296875,217.35749510110676,204.04189483074677,215.20350489435,80055
2024-08-01,189.3555908203125,197.4820232467644,182.20826121771424,195.42594765384956,89395
2024-08-02,173.69015502929688,195.0342702489874,171.1836928639925,190.5304757143601,79605
2024-08-05,104.17494201660156,117.19680510002237,78.9144741274982,80.28519852308118,422895
2024-08-06,111.81183624267578,117.29473451007291,105.34985753592682,108.28712126352616,194020
