Date,Close,High,Low,Open,Volume
,HPG.VN,HPG.VN,HPG.VN,HPG.VN,HPG.VN
2021-03-01,19943.01953125,19986.1875,19770.353515625,19964.603515625,51262186
2021-03-02,20158.853515625,20331.51953125,19943.01953125,20202.01953125,55850212
2021-03-03,20202.01953125,20309.9375,20072.51953125,20094.103515625,53230600
2021-03-04,19813.51953125,20245.1875,19425.01953125,20245.1875,66282788
2021-03-05,19856.685546875,19899.853515625,19468.185546875,19705.603515625,52787900
2021-03-08,19986.1875,20245.1875,19856.685546875,20115.6875,44211614
2021-03-09,19791.935546875,19943.01953125,19446.603515625,19856.685546875,38663589
2021-03-10,19684.01953125,19791.935546875,19489.76953125,19791.935546875,37673706
2021-03-11,20029.353515625,20137.26953125,19770.353515625,19813.51953125,40590074
2021-03-12,20050.9375,20115.6875,19943.01953125,20115.6875,32023981
2021-03-15,20072.51953125,20245.1875,20029.353515625,20115.6875,30463519
2021-03-16,19899.853515625,20115.6875,19770.353515625,20115.6875,41043895
2021-03-17,19986.1875,20050.9375,19878.26953125,19921.4375,30328462
2021-03-18,20115.6875,20180.4375,20007.76953125,20158.853515625,31277572
2021-03-19,20353.103515625,20482.603515625,20115.6875,20115.6875,46102886
2021-03-22,20180.4375,20482.603515625,20158.853515625,20417.853515625,25888234
2021-03-23,20115.6875,20331.51953125,20029.353515625,20137.26953125,29020509
2021-03-24,19619.26953125,20007.76953125,19468.185546875,19878.26953125,55521718
2021-03-25,19425.01953125,19748.76953125,19338.685546875,19727.185546875,47209989
2021-03-26,19943.01953125,19943.01953125,19446.603515625,19640.853515625,67742547
2021-03-29,19986.1875,20115.6875,19921.4375,20072.51953125,31867401
2021-03-30,20050.9375,20180.4375,19899.853515625,20072.51953125,32047380
2021-03-31,20202.01953125,20439.4375,20007.76953125,20050.9375,39101194
2021-04-01,20935.853515625,20935.853515625,20266.76953125,20288.353515625,65378851
2021-04-02,21173.271484375,21281.1875,20979.021484375,21065.353515625,38984901
2021-04-05,21281.1875,21410.6875,21130.103515625,21367.521484375,36643514
2021-04-06,21324.35546875,21389.10546875,21194.85546875,21281.1875,33667840
2021-04-07,21345.9375,21410.6875,21108.521484375,21324.35546875,33624057
2021-04-08,21302.771484375,21410.6875,21151.6875,21367.521484375,28129314
2021-04-09,21389.10546875,21540.1875,21173.271484375,21281.1875,47578792
2021-04-12,22101.35546875,22230.85546875,21475.4375,21540.1875,62803951
2021-04-13,21626.521484375,22230.85546875,21626.521484375,22230.85546875,62448351
2021-04-14,22878.35546875,23007.85546875,21540.1875,21626.521484375,67073212
2021-04-15,23525.857421875,23612.189453125,22662.5234375,23094.189453125,74312125
2021-04-16,23569.0234375,24043.857421875,23094.189453125,23353.189453125,66330511
2021-04-19,24950.357421875,24950.357421875,23612.189453125,23828.0234375,80682774
2021-04-20,24691.357421875,25295.69140625,24173.357421875,25036.69140625,88816820
2021-04-22,23741.689453125,24993.525390625,23741.689453125,24389.19140625,76655829
2021-04-23,24346.0234375,24346.0234375,23655.357421875,23957.5234375,66976380
2021-04-26,23784.857421875,24432.357421875,23741.689453125,24389.19140625,60061096
2021-04-27,24302.857421875,24346.0234375,23482.689453125,23784.857421875,54485734
2021-04-28,24173.357421875,24389.19140625,23957.5234375,24302.857421875,38124516
2021-04-29,25079.859375,25338.859375,24346.0234375,24389.19140625,64581478
2021-05-04,25813.693359375,26072.693359375,24605.025390625,24734.525390625,76438532
2021-05-05,25597.859375,26029.525390625,25597.859375,25900.025390625,59581791
2021-05-06,25641.025390625,26029.525390625,25382.025390625,25597.859375,52145968
2021-05-07,26245.359375,26547.52734375,25511.525390625,25554.69140625,68705025
2021-05-10,27195.02734375,27324.52734375,26245.359375,26245.359375,66143792
2021-05-11,26763.359375,27324.52734375,26763.359375,27324.52734375,68710818
2021-05-12,27065.52734375,27065.52734375,26461.193359375,26590.693359375,72996759
2021-05-13,26547.52734375,27195.02734375,26547.52734375,26936.02734375,64342173
