Date,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,HNX,HNX,INDEX,HNX,INDEX,HNX,INDEX,HNX,INDEX,HNX,INDEX
2021-03-01,,,36.079227447509766,,36.079227447509766,,36.079227447509766,,36.079227447509766,,0
2021-03-02,,,35.912437438964844,,35.912437438964844,,35.912437438964844,,35.912437438964844,,0
2021-03-03,,,35.71931076049805,,35.71931076049805,,35.71931076049805,,35.71931076049805,,0
2021-03-04,,,35.201385498046875,,35.201385498046875,,35.201385498046875,,35.201385498046875,,0
2021-03-05,,,36.035335540771484,,36.035335540771484,,36.035335540771484,,36.035335540771484,,0
2021-03-08,,,36.263572692871094,,36.263572692871094,,36.263572692871094,,36.263572692871094,,0
2021-03-09,,,36.30746841430664,,36.30746841430664,,36.30746841430664,,36.30746841430664,,0
2021-03-10,,,36.6937141418457,,36.6937141418457,,36.6937141418457,,36.6937141418457,,0
2021-03-11,,,36.94828796386719,,36.94828796386719,,36.94828796386719,,36.94828796386719,,0
2021-03-12,,,37.21164321899414,,37.21164321899414,,37.21164321899414,,37.21164321899414,,0
2021-03-15,,,37.55400085449219,,37.55400085449219,,37.55400085449219,,37.55400085449219,,0
2021-03-16,,,37.19408416748047,,37.19408416748047,,37.19408416748047,,37.19408416748047,,0
2021-03-17,,,37.3784294128418,,37.3784294128418,,37.3784294128418,,37.3784294128418,,0
2021-03-18,,,37.009735107421875,,37.009735107421875,,37.009735107421875,,37.009735107421875,,0
2021-03-19,,,36.96584701538086,,36.96584701538086,,36.96584701538086,,36.96584701538086,,0
2021-03-22,,,37.01851272583008,,37.01851272583008,,37.01851272583008,,37.01851272583008,,0
2021-03-23,,,36.483036041259766,,36.483036041259766,,36.483036041259766,,36.483036041259766,,0
2021-03-24,,,36.42158508300781,,36.42158508300781,,36.42158508300781,,36.42158508300781,,0
2021-03-25,,,36.86050796508789,,36.86050796508789,,36.86050796508789,,36.86050796508789,,0
2021-03-26,,,37.545223236083984,,37.545223236083984,,37.545223236083984,,37.545223236083984,,0
2021-03-29,,,37.36087417602539,,37.36087417602539,,37.36087417602539,,37.36087417602539,,0
2021-03-30,,,37.41353988647461,,37.41353988647461,,37.41353988647461,,37.41353988647461,,0
2021-03-31,,,37.3784294128418,,37.3784294128418,,37.3784294128418,,37.3784294128418,,0
2021-04-01,,,37.78223419189453,,37.78223419189453,,37.78223419189453,,37.78223419189453,,0
2021-04-05,,,38.15092849731445,,38.15092849731445,,38.15092849731445,,38.15092849731445,,0
2021-04-06,,,38.17726516723633,,38.17726516723633,,38.17726516723633,,38.17726516723633,,0
2021-04-07,,,38.045589447021484,,38.045589447021484,,38.045589447021484,,38.045589447021484,,0
